# ts,lat,lon,ele,hdop,vdop
1.642350383463999987e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350444128000021e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350511405999899e+09,4.567771034999999813e+01,-7.341264635999999655e+01,-1.660000038146972656e+01,2.200000000000000178e+00,1.899999999999999911e+00
1.642350572987999916e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350654986999989e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350715979000092e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350792918999910e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350854174000025e+09,4.566818930000000165e+01,-7.338996960000000058e+01,nan,nan,nan
1.642350922000000000e+09,4.569096234999999950e+01,-7.339958412000000010e+01,1.142900024414062500e+03,3.299999999999999822e+00,2.600000000000000089e+00
1.642350991407000065e+09,4.569520562999999669e+01,-7.339180432000000565e+01,1.444800048828125000e+03,2.200000000000000178e+00,1.800000000000000044e+00
1.642351063401999950e+09,4.569993611000000300e+01,-7.338288400000000422e+01,1.700000000000000000e+03,2.799999999999999822e+00,2.399999999999999911e+00
1.642351135397000074e+09,4.570485519000000352e+01,-7.337302364999999327e+01,1.946099975585937500e+03,2.600000000000000089e+00,2.100000000000000089e+00
1.642351201604000092e+09,4.570792421000000161e+01,-7.336407658999999626e+01,2.167100097656250000e+03,3.600000000000000089e+00,3.100000000000000089e+00
1.642351273596999884e+09,4.571123826000000179e+01,-7.335515117999999291e+01,2.430199951171875000e+03,1.899999999999999911e+00,1.600000000000000089e+00
1.642351339591000080e+09,4.571442722999999830e+01,-7.334674133000000040e+01,2.665000000000000000e+03,2.500000000000000000e+00,2.100000000000000089e+00
1.642351411591000080e+09,4.571717669000000228e+01,-7.333686572999999953e+01,2.921399902343750000e+03,2.100000000000000089e+00,1.800000000000000044e+00
1.642351483591000080e+09,4.571804073999999929e+01,-7.332621106000000566e+01,3.179000000000000000e+03,2.200000000000000178e+00,1.800000000000000044e+00
